"z_id","address","lat","long","price","beds","baths","sqft","acres","yr_built"
"zpid_75471594","1135-Loomis-Hill-Rd-Waterbury-Center-VT-05677",44.382114,-72.698553,349500,3,2,1850,1,1970
"zpid_75466022","4-Quesnel-St-Montpelier-VT-05602",44.259896,-72.608067,170000,2,1,988,50479602.432461,1958
"zpid_92243045","62-Laurel-Dr-UNIT-62-Essex-Junction-VT-05452",44.491451,-73.058852,350000,3,4,NA,NA,NA
"zpid_75414921","50-W-Pleasant-St-Bristol-VT-05443",44.136048,-73.08534,225000,3,1,1699,0.36,1875
"zpid_75463777","46-Johnson-St-Barre-VT-05641",44.203132,-72.49781,125000,2,2,1344,0.51,1912
"zpid_2098805363","76-Vermont-Route-12a-UNIT-3-Northfield-VT-05663",44.114,-72.6806,111000,3,2,1248,NA,2006
"zpid_2098805768","38-Spring-Hill-Rd-Dover-VT-05356",42.931551,-72.85893,750000,4,5,3400,1,1998
"zpid_2098805786","4K-Carinthia-Road-(Glen-Run)-4-Dover-VT-05356",42.958728,-72.888781,187000,2,2,900,NA,1983
"zpid_2098805428","41-Harbor-View-Dr-Saint-Albans-VT-05478",44.791564,-73.094545,327900,3,3,1960,0.46,2015
"zpid_75443388","1153-Vt-Route-66-Randolph-VT-05060",43.937613,-72.637513,189000,3,2,1880,1.4,1960
"zpid_75437424","923-Decker-Rd-Milton-VT-05468",44.719444,-73.150238,219000,3,2,NA,1.84,1984
"zpid_91992360","3680-Mountain-Rd-Bristol-VT-05443",44.203809,-73.102158,289900,NA,3,1920,2.8,2015
"zpid_2104969020","16-Bruleigh-Rd-East-Corinth-VT-05040",44.077628,-72.255701,599000,3,3,2500,244,1990
"zpid_2106506443","2609-Morgan-charleston-Charleston-VT-05872",44.875386,-72.007097,169000,3,2,1712,12.2,2002
"zpid_2106495042","291-The-Grove-Rd-Barnard-VT-05031",43.727434,-72.605102,465000,3,2,1790,738729691.044399,1894
"zpid_92006300","6141-Vt-Rte-15-Wolcott-VT-05680",44.533881,-72.429833,173000,3,1,1820,1,1986
"zpid_2098805767","37B-Kingswood-Rd-39-Dover-VT-05356",42.949151,-72.882616,330000,3,3,1850,NA,2005
"zpid_2098805772","39A-Kingswood-Rd-39-Dover-VT-05356",42.949051,-72.882465,330000,3,3,1850,NA,2005
"zpid_2098805778","10-Slopeside-Rd-2-Dover-VT-05356",42.960526,-72.889455,575000,4,4,1900,NA,1988
"zpid_92282897","96-Pinnacle-Vw-Richmond-VT-05477",44.428925,-72.983073,429900,3,4,2611,1.18,2004
"zpid_92255202","434-Westford-Rd-Milton-VT-05468",44.643352,-73.062061,259000,3,2,2121,0.75,1986
"zpid_90140671","2663-Greenbush-Rd-Charlotte-VT-05445",44.312547,-73.252995,599900,3,4,2750,NA,NA
"zpid_111022447","351-Sylvan-Park-Rd-Stowe-VT-05672",44.454374,-72.688745,875000,7,8,7080,NA,NA
"zpid_92270796","276-Belair-Dr-Colchester-VT-05446",44.54792,-73.25439,249000,NA,1,1834,NA,NA
"zpid_92037630","37-Ski-Bowl-Road-Rockingham-VT",43.132599,-72.484135,209000,3,2,2040,NA,NA
"zpid_2099854341","2576-Bronson-St-Albans-City-VT-05478",44.8021,-73.09499,189900,3,2,1446,NA,NA
"zpid_92029681","165-Molly-Supple-Hill-Rd-Middlesex-VT-05602",44.332384,-72.622535,439000,3,3,2296,NA,NA
"zpid_75487782","1139-Hewett-Rd-Windsor-VT-05089",43.480355,-72.438465,498000,4,3,2920,NA,NA
"zpid_2102662658","780-Branch-West-Fairlee-VT-05083",44.230454,-72.287317,219000,2,2,1600,NA,NA
"zpid_92016038","2653-Glover-St-Glover-VT-05839",44.710562,-72.185431,179000,4,2,3000,NA,NA
"zpid_2107354132","12-Ketch-Rd-Grand-Isle-VT-05458",44.702047,-73.290713,113000,NA,1,512,NA,NA
"zpid_2098805776","5-E-Sportscenter-Village-Way-(Seasons-A15)-Dover-VT-05356",42.96312,-72.8914,195000,2,2,1200,NA,NA
"zpid_2104258131","114-French-Hill-Rd-Wardsboro-VT-05360",43.020881,-72.830805,159900,3,2,1650,NA,NA
"zpid_81613078","51-Jacobs-Run-Sheldon-VT-05483",44.884086,-73.00138,259900,3,2,1853,NA,NA
"zpid_2102292932","12-Drumleys-S-12-Warren-VT-05674",44.148764,-72.881706,169000,3,2,1450,NA,NA
"zpid_2126699645","23-Camp-Rd-Franklin-VT-05457",44.98634,-72.85796,219000,3,1,1389,NA,NA
"zpid_2098813444","3599-Route-30-Hubbardton-VT-05743",43.727494,-73.182002,330000,3,2,1400,NA,NA
"zpid_2100986919","418-Lake-Rd-Craftsbury-VT-05826",44.937046,-72.220414,480000,3,2,1440,NA,NA
"zpid_2098816221","39-Silver-Birch-Pl-1-Rutland-VT-05701",43.668882,-72.943405,99500,2,2,1000,NA,NA
"zpid_2098820241","22-Moulton-Rd-Waitsfield-VT-05673",44.184431,-72.845779,36900,NA,NA,NA,0.6,NA
"zpid_2098805780","94-Boyd-Hill-Rd-Wilmington-VT-05363",42.861006,-72.874808,149500,NA,NA,NA,8.36,NA
"zpid_2098815775","12-Arbor-Hill-Cmn-70-Brattleboro-VT-05301",42.85079,-72.581607,140000,NA,1,950,NA,NA
"zpid_2101894086","4-Little-Farm-Rd-South-Hero-VT-05486",44.636856,-73.324473,525000,3,5,3464,NA,NA
"zpid_2100807159","32-Evergreen-Ln-Morristown-VT-05661",44.506338,-72.636554,249900,3,2,1350,NA,NA
"zpid_118029003","18-Maquam-Shore-Rd-Swanton-VT-05488",44.919999,-73.160305,330000,2,2,2496,NA,NA
"zpid_2105416920","2837-Rte-110-Main-St-Washington-VT-05675",44.109557,-72.433551,143000,3,2,1762,NA,NA
"zpid_2098814634","78-Erfreulichblick-Stamford-VT-05352",42.818084,-73.025576,249900,3,2,1358,NA,NA
"zpid_2105308721","1-Canedy-Rd-LOT-44-Stratton-VT-05360",43.053207,-72.890659,105000,NA,NA,NA,10.3,NA
"zpid_2098805773","12-Slopeside-Rd-2-Dover-VT-05356",42.960518,-72.889516,475000,3,4,1900,NA,1988
"zpid_2112726252","Titus-Farm-Rd-LOT-5-Wilmington-VT-05363",42.88231,-72.86749,92000,NA,NA,NA,10.8,NA
"zpid_2098805774","59D-Greenspring-Rd-59-Dover-VT-05356",42.967289,-72.882392,355000,4,4,2968,NA,1988
"zpid_92294465","435-Brennan-Woods-Dr-Williston-VT-05495",44.458284,-73.091235,429900,4,4,2600,0.47,2001
"zpid_2111533746","72-Meadow-Hawk-Ln-Rochester-VT-05767",43.864491,-72.837751,259000,4,2,1898,1,1981
"zpid_2098816664","266-Beaver-Pond-Rd-Dummerston-VT-05301",43.13261,-72.822639,359900,3,2,2194,7.5,1970
"zpid_2104011558","402-Marsh-Family-Road-Hartford-VT-05059",43.642039,-72.433259,199000,2,2,1596,0.93,1975
"zpid_122659053","5480-Main-St-Franklin-VT-05457",44.985776,-72.917667,185000,3,2,1232,2,1990
"zpid_75438370","14-Ketch-Rd-Grand-Isle-VT-05458",44.702052,-73.290645,146900,2,1,827,0.28,2003
"zpid_75469278","301-Vine-St-Northfield-VT-05663",44.152851,-72.661352,210000,6,4,3136,0.4,1920
"zpid_2098815776","10-Robin-Way-1-Brattleboro-VT-05301",42.848824,-72.588699,189500,3,3,1680,NA,1988
"zpid_2103026343","4F-Sportscenter-Village-Way-(Seasons-B22)-Dover-VT-05356",42.95737,-72.87983,185000,2,2,1100,NA,1987
"zpid_2098816301","B-207-Okemo-Ridge-Rd-B-Ludlow-VT-05149",43.401892,-72.717509,175000,NA,1,599,NA,1984
"zpid_2119371882","Burnor-Rd-LOT-1-Cambridge-VT-05444",44.64773,-72.90037,55000,NA,NA,NA,0.68,NA
"zpid_92292044","429-Cambridge-Rd-Westford-VT-05494",44.625623,-72.976555,355000,4,3,2460,4,1974
"zpid_92251690","200-Main-St-Essex-Junction-VT-05452",44.500304,-73.097417,277900,3,1,1390,1.3,1960
"zpid_115813494","918-College-Hill-Rd-Woodstock-VT-05091",43.615088,-72.537338,435000,3,2,2156,1.13,2000
"zpid_92261816","2-Greenfield-Rd-Ext-UNIT-H2-Essex-Junction-VT-05452",44.479248,-73.058898,184900,2,2,1449,NA,1979
"zpid_92040742","1353-Burbee-Pond-Rd-Windham-VT-05359",43.156511,-72.727219,229500,3,2,1800,3.07,1980
"zpid_2105775825","3880-Maidstone-Lake-Rd-Maidstone-VT-05905",44.664491,-71.646947,217000,3,2,1000,736916400.411983,1946
"zpid_75432590","1-Twin-Ct-Saint-Albans-VT-05478",44.795755,-73.081092,221500,3,2,1572,0.51,1983
"zpid_94936577","2-Crestwood-Dr-Bennington-VT-05201",42.868681,-73.200746,359000,4,3,3047,0.72,2008
"zpid_75459794","17-W-Crystal-Hvn-Bomoseen-VT-05732",43.664426,-73.193171,450000,3,2,1892,738963950.687328,1940
"zpid_2106241291","122-Fosters-Grv-S-Westmore-VT-05860",44.773608,-72.059346,495000,3,2,1698,0.44,1935
"zpid_2098805782","3-E-Trailside-Village-Way-(Seasons-G21)-Dover-VT-05356",42.962327,-72.893064,129000,NA,1,825,NA,1986
"zpid_2098805781","59A-Greenspring-Rd-59-Dover-VT-05356",42.967289,-72.882392,355000,4,4,2858,NA,NA
"zpid_75439565","246-Fairwood-Pkwy-W-Morrisville-VT-05661",44.554731,-72.58134,235000,3,2,2201,NA,NA
"zpid_75433906","155-Lakewood-Dr-Swanton-VT-05488",44.954634,-73.220532,495000,2,3,2564,NA,NA
"zpid_81600335","46-Guys-View-Rd-Lyndonville-VT-05851",44.560833,-71.975532,365000,4,4,2413,NA,NA
"zpid_2098816162","60-Eden-Way-60-Bennington-VT-05201",42.874339,-73.196248,114000,2,2,1244,NA,NA
"zpid_75483543","13-Leland-Ave-North-Springfield-VT-05150",43.333598,-72.522073,125000,3,1,962,NA,NA
"zpid_2101447679","256-Gills-Road-Barnard-VT-05031",43.749603,-72.612494,1699000,3,3,3167,NA,NA
"zpid_2104045897","Higley-Hill-Rd-LOT-ON-Wilmington-VT-05363",42.895019,-72.814249,114900,NA,NA,NA,10.7,NA
"zpid_75449802","69-East-St-Orleans-VT-05860",44.81125,-72.196468,224900,3,1,1700,NA,NA
"zpid_75430292","14-Brady-Rd-Montgomery-Center-VT-05471",44.836902,-72.627914,399900,3,2,1851,NA,NA
"zpid_2098815774","17L-Snow-Tree-Lane-17l-UNIT-C-Dover-VT-05356",42.967949,-72.890344,125000,NA,1,600,NA,NA
"zpid_2105767381","42-Bear-Lair-Ln-(M374)-Wilmington-VT-05363",42.890258,-72.91677,410000,5,4,4931,NA,NA
"zpid_2103671587","5-E-Blue-Spruce-Dover-VT-05356",42.974269,-72.885009,217000,4,3,2400,NA,NA
"zpid_2098817366","125-Mountain-Brk-22-Burke-VT-05832",44.586625,-71.90286,127500,NA,1,655,NA,NA
"zpid_2104499371","36-Goldenrod-St-South-Burlington-VT-05403",44.4283,-73.1765,559000,4,3,2444,NA,NA
"zpid_75438196","1-Canamak-W-Grand-Isle-VT-05458",44.746361,-73.288622,256500,3,1,1554,NA,NA
"zpid_2110103142","16-(Lot-30)-LOWR-HIGHLANDS-Dover-VT-05356",42.975109,-72.890297,69000,NA,NA,NA,0.69,NA
"zpid_111022694","224-Roy-St-Derby-VT-05829",44.954992,-72.142306,119500,3,2,1400,NA,NA
"zpid_2099879528","127-Fannie-Hill-Rd-Wilmington-VT-05363",42.925248,-72.890421,750000,4,3,2400,NA,NA
"zpid_75480915","14-Pond-St-Ludlow-VT-05149",43.395956,-72.704548,179000,4,4,3142,NA,NA
