"z_id","address","lat","long","price","saledate","pricepersqft","beds","baths","sqft","acres","yr_built"
"zpid_2098883287","27A-Kingswood-Road-27A-West-Dover-VT-05356",42.949381,-72.883945,308000,"4/20/16",166,3,3,NA,NA,NA
"zpid_2111326343","67-Burgess-Way-Brattleboro-VT-05301",42.855496,-72.577211,50000,"4/20/16",NA,NA,NA,NA,3.11,NA
"zpid_92281768","227-Coon-Hill-Rd-Colchester-VT-05446",44.580847,-73.156228,4e+05,"4/18/16",108,3,3,3700,5.02,2001
"zpid_92295772","42-Tamarack-Dr-Williston-VT-05495",44.446919,-73.061219,382000,"4/18/16",158,3,3,2416,0.53,1994
"zpid_92244826","32-Elmer-Pl-Milton-VT-05468",44.657274,-73.117406,254999,"4/18/16",196,3,2,1300,0.52,1987
"zpid_92244753","9-Poker-Hill-Rd-Underhill-VT-05489",44.533726,-72.943777,2e+05,"4/18/16",NA,NA,NA,NA,1.5,NA
"zpid_49676801","1-Hayes-Ave-South-Burlington-VT-05403",44.451515,-73.165633,174990,"4/18/16",159,2,1.5,1100,NA,1983
"zpid_92049942","100-Golf-Ave-Woodstock-VT-05091",43.619489,-72.51253,650000,"4/15/16",138,6,4,4700,5.43,1957
"zpid_75427358","3095-Vt-Route-18-Waterford-VT-05819",44.396897,-71.922075,84800,"4/15/16",NA,NA,NA,NA,2,NA
"zpid_75441070","512-Billings-Hill-Rd-Stowe-VT-05672",44.520079,-72.740123,615000,"4/15/16",NA,NA,NA,NA,5.67,NA
"zpid_75427649","41-Burke-Rd-Sutton-VT-05867",44.633077,-72.025358,135000,"4/15/16",79,3,1,1690,0.5,1825
"zpid_92261991","18-Briar-Ln-Essex-Junction-VT-05452",44.490256,-73.095146,254000,"4/15/16",139,4,2,1824,968376555.600849,1973
"zpid_92258437","8-Stearns-Ave-Essex-Junction-VT-05452",44.506874,-73.129711,249900,"4/15/16",236,3,1,1056,0.36,1972
"zpid_92250124","255-W-Sleepy-Hollow-Rd-Essex-Junction-VT-05452",44.525373,-73.025449,312000,"4/15/16",85,4,3,3637,6.31,2006
"zpid_92006877","126-Whitefield-Dr-Jeffersonville-VT-05464",44.647572,-72.863297,225000,"4/15/16",108,3,2,2078,1.65,2003
"zpid_75415677","1360-S-116-Rd-Bristol-VT-05443",44.109308,-73.097142,173300,"4/15/16",NA,NA,NA,NA,2,NA
"zpid_49675526","69-Barrett-St-South-Burlington-VT-05403",44.45836,-73.176725,213000,"4/15/16",80,4,3,2638,9932004236.5008,1975
"zpid_2104083136","609-Everest-Rd-Milton-VT-05468",44.650237,-73.207585,304900,"4/15/16",148,3,3,2048,2.9,2015
"zpid_92051974","271-Butternut-Rd-White-River-Junction-VT-05001",43.642213,-72.322134,315000,"4/15/16",140,3,3,2248,7627366854.4997,2007
"zpid_49678717","95-Twin-Oaks-Ter-South-Burlington-VT-05403",44.450466,-73.168426,155000,"4/15/16",157,2,1,984,NA,1980
"zpid_92245130","65-Elm-St-Winooski-VT-05404",44.495164,-73.196045,240000,"4/15/16",162,3,2,1475,738006150.410927,1900
