"z_id","address","lat","long","price","beds","baths","sqft","acres","yr_built"
"zpid_2098830467","0-Toppin-Rd-Ira-VT-05777",43.56118,-73.04237,1290000,0,0,0,0.0290174471992654,0
"zpid_12648867","142-James-Ave-Burlington-VT-05408",44.516433,-73.246704,225000,3,2,1810,7387743346.69366,1976
"zpid_2098858346","379-Golf-Crse-Richford-VT-05476",45.009594,-72.634422,30000,NA,NA,NA,5.1,NA
"zpid_92033915","1557-Danville-Hill-Rd-Cabot-VT-05647",44.39819,-72.283528,248000,4,3,2494,9.2,1840
"zpid_2102587266","752-Cook-Rd-Barton-VT-05822",44.7637,-72.113722,65000,NA,1,480,10.4,2004
"zpid_2098830754","Alpenwald-Ln-LOT-241-Readsboro-VT-05350",42.78869,-72.97626,14900,NA,NA,NA,1.2,NA
"zpid_92263913","39-Woods-End-Dr-Essex-Junction-VT-05452",44.487476,-73.088863,389000,4,3,2500,0.89,1985
"zpid_75438985","2547-Sterling-Valley-Rd-Morrisville-VT-05661",44.524688,-72.692642,520000,4,4,3306,10.5,1972
"zpid_2098830465","Alpenwald-Ln-LOT-149-Readsboro-VT-05350",42.78869,-72.97626,14900,NA,NA,NA,1,NA
"zpid_2098858996","Sangamon-Rd-Pittsford-VT-05763",43.688599,-72.970718,69000,NA,NA,NA,5.57,NA
"zpid_2098834259","472-Tracy-Hill-Rd-Roxbury-VT-05669",44.09115,-72.725873,99900,3,2,1200,10.2,2011
"zpid_75425886","277-Shoreline-Dr-Barnet-VT-05821",44.298391,-72.134405,499000,3,4,2700,3,2001
"zpid_2098846409","6-Chamberlain-Ln-LOT-B-Waterford-VT-05819",44.340283,-71.954422,34950,NA,NA,NA,1.76,NA
"zpid_92282741","51-Tilden-Ave-Richmond-VT-05477",44.407507,-72.992991,215000,3,1,1554,0.36,1921
"zpid_2098863088","1899-Johnson-Rd-Concord-VT-05824",44.398395,-71.824669,150000,3,1,1288,10,2008
"zpid_75476927","452-Peck-Ln-Westminster-VT-05158",43.059839,-72.517159,289000,3,3,2700,19.4,1990
"zpid_2098852045","1633-Scott-Hwy-Groton-VT-05046",44.211698,-72.19956,122500,2,1,936,21.8,1988
"zpid_92008011","104-Eden-St-Hyde-Park-VT-05655",44.593559,-72.613735,250000,3,2,2342,0.84,1880
"zpid_2098835362","601-Sarum-Hill-Lane-Randolph-Randolph-VT-05060",43.9497,-72.67693,1295000,4,4,6012,131,2004
"zpid_2098849256","914-Deerbrook-Way-Woodstock-VT-05091",43.606315,-72.60186,549000,3,2,2724,11.2,1990
"zpid_2098861981","752-Cook-Barton-VT-05822",44.7637,-72.113722,65000,NA,1,480,10.4,2004
"zpid_2098857984","220-Fleury-Rd-Hyde-Park-VT-05655",44.650013,-72.597772,38000,NA,NA,NA,3.32,NA
"zpid_2110852205","28-E-Washington-St-Rutland-VT-05701",43.606515,-72.96878,149000,3,2,1344,737706315.929752,1900
"zpid_75489977","312-North-St-Chester-VT-05143",43.275569,-72.59406,105000,5,1,2090,0.29,1850
"zpid_92045015","912-Us-Route-5-Dummerston-VT-05301",42.919163,-72.537007,139900,2,1,912,2,1979
"zpid_92279557","409-Farrell-St-APT-213-South-Burlington-VT-05403",44.450061,-73.20404,165000,2,1,963,NA,2004
"zpid_2098859526","0-Ironwood-Rd-Fairfax-VT-05454",44.764336,-73.080717,115000,NA,NA,NA,10.9,NA
"zpid_81746041","230-Barber-Pond-Rd-Pownal-VT-05261",42.794909,-73.217857,205000,4,3,2495,2.32,1978
"zpid_92263205","49-Windy-Pnes-Huntington-VT-05462",44.334826,-72.995837,359000,3,3,2240,18.9,2000
"zpid_75452029","2602-Salem-Derby-Rd-Newport-VT-05855",44.902037,-72.118141,1e+05,3,2,1331,1,1800
"zpid_92255027","11-Mountain-Rd-Underhill-VT-05489",44.51511,-72.883729,474900,3,3,2856,10.1,1980
"zpid_75445630","157-Felicity-1st-Ave-Williamstown-VT-05679",44.129642,-72.500013,324000,4,2,2230,11,1979
"zpid_94940934","21-Lewiston-Hill-Rd-Norwich-VT-05055",43.70583,-72.303144,299000,2,2,1320,508082308.125505,1947
"zpid_115810473","114-Partridge-Rd-Guilford-VT-05301",42.937088,-72.560625,149900,2,1,952,0.5,2008
